"name","symbol","price","market cap"
"Mainframe","MFT","0.002657","21728296"
"NKN","NKN","0.061794","21627842"
"PLATINCOIN","PLC","30.34","21241184"
"Achain","ACT","0.023077","21231227"
"UTRUST","UTK","0.047179","21230668"
"botXcoin","BOTX","0.012117","21053326"
"ProximaX","XPX","0.003451","21042742"
"AgaveCoin","AGVC","0.053144","20759246"
"PressOne","PRS","0.072896","20756590"
"SaluS","SLS","20.35","20600458"
"DAPS Token","DAPS","0.000391","20582414"
"Nexus","NXS","0.319278","20272365"
"Aragon","ANT","0.646979","19866523"
"Crypterium","CRPT","0.235433","19769591"
"BitKan","KAN","0.004869","19766530"
"Cindicator","CND","0.013656","19746633"
"MediBloc [ERC20]","MEDX","0.005829","19693491"
"Quantum Resis...","QRL","0.286144","19576671"
"Gifto","GTO","0.032221","19468272"
"Pirate Chain","ARRR","0.182738","19264968"
"IRISnet","IRIS","0.058701","19136471"
"SingularityNET","AGI","0.035413","19111567"
"Davinci Coin","DAC","0.005256","18932778"
"TTC","TTC","0.093287","18827297"
"Everipedia","IQ","0.004134","18628240"
"Ankr Network","ANKR","0.008051","18561162"
"Contents Prot...","CPT","0.007167","18506537"
"#MetaHash","MHC","0.014863","18409604"
"Wixlar","WIX","0.016707","18316676"
"Humanscape","HUM","0.000448","18311140"
"Storm","STORM","0.002921","18209328"
"Telcoin","TEL","0.000488","18141716"
"Time New Bank","TNB","0.006584","18125097"
"Burst","BURST","0.008803","18036113"
"Bit-Z Token","BZ","0.164009","17799877"
"BnkToTheFuture","BFT","0.024288","17729973"
"Litex","LXT","0.021527","17651743"
"RealTract","RET","0.001605","17650267"
"Po.et","POE","0.005595","17578442"
"Blox","CDT","0.025989","17531413"
"VeriBlock","VBK","0.036527","17381819"
"PayPie","PPP","0.205752","16974555"
"Raiden Networ...","RDN","0.334812","16939447"
"Moeda Loyalty...","MDA","0.854821","16779184"
"Dentacoin","DCN","5.1e-05","16724915"
"Everex","EVX","0.737598","16669708"
"Neblio","NEBL","1.14","16661518"
"Cajutel","CAJ","12.22","16646775"
"Nucleus Vision","NCASH","0.002835","16520759"
"TOP","TOP","0.006167","16485435"
"Function X","FX","0.359548","16333193"
"Data Transact...","XD","0.08045","15486216"
"Request","REQ","0.020944","15286671"
"BOScoin","BOS","0.023718","15261597"
"Moss Coin","MOC","0.053149","15003970"
"Matrix AI Net...","MAN","0.099689","14953295"
"Odyssey","OCN","0.00213","14830214"
"APIS","APIS","0.001645","14725597"
"FOAM","FOAM","0.052182","14633054"
"Gemini Dollar","GUSD","0.993562","14627044 "
"Genesis Vision","GVT","3.26","14421394"
"Bitcoiin","B2G","0.276705","14391664"
"ILCoin","ILC","0.04834","14371773"
"OST","OST","0.022441","14313514"
"MovieBloc","MBL","0.004131","14300393"
"Aergo","AERGO","0.137517","14292762"
"Lightning Bit...","LBTC","3.66","14136605"
"Streamr DATAcoin","DATA","0.020838","14110343"
"GoChain","GO","0.019023","14074479"
"Clams","CLAM","3.84","14058605"
"Everus","EVR","0.029942","13506746"
"VITE","VITE","0.032507","13495697"
"Kin","KIN","1.8e-05","13464461"
"Ripio Credit ...","RCN","0.026842","13437234"
"Endor Protocol","EDR","0.017648","13374780"
"Tael","WABI","0.233198","13301632"
"NavCoin","NAV","0.20307","13299464"
"V-ID","VIDT","0.497126","13206849"
"Fetch","FET","0.161947","13205524"
"Seele","SEELE","0.019069","13174131"
"Bezant","BZNT","0.01834","13091838"
"1irstcoin","FST","2.11","12926153"
"Quantstamp","QSP","0.020813","12848296"
"NIX","NIX","0.294456","12733789"
"OAX","OAX","0.186023","12580720"
"PlayChip","PLA","0.000889","12456975"
"Credits","CS","0.076311","12352440"
"PumaPay","PMA","0.000541","12243151"
"ZrCoin","ZRC","2.69","12220083"
"MediShares","MDS","0.011644","12168864"
"Aeon","AEON","0.764799","12107883"
"DxChain Token","DX","0.000283","11956061"
"IDEX","IDEX","0.052908","11944577"
"OneRoot Network","RNT","0.041989","11927940"
"SmartCash","SMART","0.008421","11905719"
"Metronome","MET","1.27","11804732"
"Darico Ecosys...","DEC","0.228265","11765656"
"Bluzelle","BLZ","0.05668","11764865"
"Wagerr","WGR","0.063788","11668182"
"STEM CELL COIN","SCC","0.036138","11588046"
"S4FE","S4F","0.046865","11543749"
"OVCODE","OVC","0.263192","11540859"
"Blackmoon","BMC","0.288456","11538246"
"Red Pulse Pho...","PHX","0.0139","11530993"
"B2BX","B2B","0.693821","11510243"
"Noah Coin","NOAH","0.000352","11504541"
"DATA","DTA","0.00129","11496319"
"TokenClub","TCT","0.023734","11426062"
"Incent","INCNT","0.247855","11405428"
"Vitae","VITAE","0.676136","11393945"
"Blocknet","BLOCK","1.93","11367647"
"SIRIN LABS Token","SRN","0.022958","11291197"
"Cube","AUTO","0.001657","11226747"
"bitCNY","BITCNY","0.142191","11214619"
"CWV Chain","CWV","0.003279","11153063"
"Namecoin","NMC","0.752093","11083136"
"Bitcore","BTX","0.645405","11061620"
"Tripio","TRIO","0.003012","11037698"
"IntelliShare","INE","0.064987","10913252"
"QunQun","QUN","0.01699","10884663"
"FLO","FLO","0.071807","10880714"
"BitCapitalVendor","BCV","0.012921","10840628"
"Insolar","INS","0.330016","10725525"
"TokenPay","TPAY","0.664775","10718868"
"DigitalNote","XDN","0.001537","10652406"
"PRIZM","PZM","0.20226","10619220"
"Pepe Cash","PEPECASH","0.015041","10557314"
"Viacoin","VIA","0.455982","10554656"
"Traceability ...","TAC","0.017099","10547442"
"Quanta Utilit...","QNTU","0.000359","10506741"
"TaaS","TAAS","1.29","10485917"
"LGO Exchange","LGO","0.078761","10291078"
"district0x","DNT","0.017039","10223578"
"TEMCO","TEMCO","0.004019","10218332"
"EDC Blockchain","EDC","0.003798","10142582"
"BOX Token","BOX","0.101088","10081025"
"AdEx","ADX","0.136745","10041250"
"Scry.info","DDD","0.022621","9954577"
"Reserve Rights","RSR","0.002682","9928446"
"Tokenomy","TEN","0.049485","9896914"
"Aencoin","AEN","0.037945","9833005"
"Ethos","ETHOS","0.100249","9786531"
"Asch","XAS","0.104338","9740463"
"Envion","EVN","0.087198","9711193"
